state,date,ML,Low_90,High_90,Low_50,High_50
Total Portugal,2020-04-26,0.7000000000000001,0.55,0.86,0.65,0.78
Total Portugal,2020-04-27,0.72,0.5700000000000001,0.89,0.66,0.79
Total Portugal,2020-04-28,0.72,0.56,0.89,0.67,0.81
Total Portugal,2020-04-29,0.7000000000000001,0.53,0.86,0.64,0.78
Total Portugal,2020-04-30,0.67,0.5,0.84,0.61,0.75
Total Portugal,2020-05-01,0.72,0.56,0.91,0.67,0.8200000000000001
Total Portugal,2020-05-02,0.72,0.54,0.89,0.66,0.81
Total Portugal,2020-05-03,0.8300000000000001,0.66,1.02,0.77,0.92
Total Portugal,2020-05-04,0.93,0.76,1.12,0.87,1.02
Total Portugal,2020-05-05,1.08,0.9,1.25,1.03,1.18
Total Portugal,2020-05-06,1.11,0.9500000000000001,1.3,1.04,1.18
Total Portugal,2020-05-07,1.1300000000000001,0.97,1.31,1.07,1.21
Total Portugal,2020-05-08,1.04,0.87,1.2,0.99,1.1300000000000001
Total Portugal,2020-05-09,0.98,0.8200000000000001,1.1500000000000001,0.93,1.07
Total Portugal,2020-05-10,0.86,0.7000000000000001,1.04,0.8,0.9400000000000001
Total Portugal,2020-05-11,0.76,0.6,0.9500000000000001,0.6900000000000001,0.8300000000000001
Total Portugal,2020-05-12,0.72,0.55,0.91,0.67,0.8200000000000001
Total Portugal,2020-05-13,0.8,0.62,0.98,0.74,0.89
Total Portugal,2020-05-14,0.86,0.6900000000000001,1.06,0.79,0.9400000000000001
Total Portugal,2020-05-15,0.91,0.74,1.11,0.8300000000000001,0.98
Total Portugal,2020-05-16,0.92,0.74,1.11,0.84,0.99
Total Portugal,2020-05-17,0.93,0.75,1.12,0.88,1.04
Total Portugal,2020-05-18,0.96,0.78,1.1500000000000001,0.91,1.07
Total Portugal,2020-05-19,0.98,0.8,1.17,0.9,1.05
Total Portugal,2020-05-20,1.01,0.8300000000000001,1.2,0.9400000000000001,1.09
Total Portugal,2020-05-21,1.0,0.8300000000000001,1.2,0.93,1.08
Total Portugal,2020-05-22,0.99,0.8200000000000001,1.19,0.93,1.08
Total Portugal,2020-05-23,0.98,0.81,1.18,0.91,1.06
Total Portugal,2020-05-24,0.98,0.81,1.18,0.92,1.07
Total Portugal,2020-05-25,1.0,0.8300000000000001,1.2,0.93,1.08
Total Portugal,2020-05-26,1.04,0.87,1.24,0.97,1.12
Total Portugal,2020-05-27,1.06,0.88,1.24,0.99,1.1400000000000001
Total Portugal,2020-05-28,1.11,0.9400000000000001,1.3,1.05,1.2
Total Portugal,2020-05-29,1.11,0.93,1.28,1.05,1.2
Total Portugal,2020-05-30,1.07,0.9,1.25,1.02,1.17
Total Portugal,2020-05-31,1.06,0.89,1.24,1.01,1.16
Total Portugal,2020-06-01,1.05,0.88,1.23,1.0,1.1500000000000001
Total Portugal,2020-06-02,1.06,0.9,1.25,1.01,1.16
Total Portugal,2020-06-03,1.1,0.9400000000000001,1.29,1.03,1.17
Total Portugal,2020-06-04,1.12,0.96,1.3,1.06,1.2
Total Portugal,2020-06-05,1.11,0.9500000000000001,1.29,1.05,1.19
Total Portugal,2020-06-06,1.1300000000000001,0.96,1.29,1.08,1.22
Total Portugal,2020-06-07,1.08,0.92,1.25,1.03,1.17
Total Portugal,2020-06-08,1.05,0.89,1.22,1.0,1.1400000000000001
Total Portugal,2020-06-09,1.01,0.85,1.18,0.96,1.1
Total Portugal,2020-06-10,0.98,0.8200000000000001,1.1500000000000001,0.93,1.07
Total Portugal,2020-06-11,0.98,0.8200000000000001,1.16,0.92,1.06
Total Portugal,2020-06-12,1.01,0.85,1.19,0.96,1.1
